Date; Time;  [S];  [S]; Zustand [N]; ROST [N]; Kesseltemp [N]; Abgastemp. [N]; Abgas. SW  [N]; KessStellGr [N]; Saugzug   [N]; Zuluftgebl [N]; Einschub [N]; Fuellst.: [N]; Feuerraumt [N]; Puffert.ob [N]; Puffert.un [N]; Puffer Pu. [N]; Außentemp [N]; Vorlauft.1sw [N]; Vorlauft.1 [N]; Vorlauft.2sw [N]; Vorlauft.2 [N]; KTY6_H2 [N]; KTY7_H2 [N]; Brenn.ST [N]; Laufzeit: [N]; Boardtemp. [N]; Die Kesseltemp. soll sein [N];
2022-09-13; 10:52:00; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:52:11; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:52:22; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:52:33; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:52:44; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:52:55; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:53:06; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:53:17; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:53:28; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:53:39; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
Date; Time;  [S];  [S]; Zustand [N]; ROST [N]; Kesseltemp [N]; Abgastemp. [N]; Abgas. SW  [N]; KessStellGr [N]; Saugzug   [N]; Zuluftgebl [N]; Einschub [N]; Fuellst.: [N]; Feuerraumt [N]; Puffert.ob [N]; Puffert.un [N]; Puffer Pu. [N]; Außentemp [N]; Vorlauft.1sw [N]; Vorlauft.1 [N]; Vorlauft.2sw [N]; Vorlauft.2 [N]; KTY6_H2 [N]; KTY7_H2 [N]; Brenn.ST [N]; Laufzeit: [N]; Boardtemp. [N]; Die Kesseltemp. soll sein [N];
2022-09-13; 10:55:05; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:55:16; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:55:27; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:55:38; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:55:49; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°; 
2022-09-13; 10:56:00; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°; 
2022-09-13; 10:56:11; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°; 
2022-09-13; 10:56:22; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°; 
2022-09-13; 10:56:33; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:56:44; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:56:54; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 24°; 34°; 51%; 0%; 0%; 0%; 99.9%; 395°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 24°; 75°;
2022-09-13; 10:57:05; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 24°; 34°; 51%; 0%; 0%; 0%; 99.9%; 395°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 24°; 75°;
2022-09-13; 10:57:16; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 24°; 34°; 52%; 0%; 0%; 0%; 99.9%; 395°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 24°; 75°;
2022-09-13; 10:57:26; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 24°; 34°; 51%; 0%; 0%; 0%; 99.9%; 395°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 24°; 75°;
2022-09-13; 10:57:36; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 24°; 34°; 51%; 0%; 0%; 0%; 99.9%; 395°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 24°; 75°;
2022-09-13; 10:57:46; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 24°; 34°; 51%; 0%; 0%; 0%; 99.9%; 395°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 24°; 75°;
2022-09-13; 10:57:56; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 24°; 34°; 51%; 0%; 0%; 0%; 99.9%; 395°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 24°; 75°;
2022-09-13; 10:58:06; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°;
2022-09-13; 10:58:16; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 24°; 34°; 51%; 0%; 0%; 0%; 99.9%; 395°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 24°; 75°;
2022-09-13; 10:58:26; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 24°; 34°; 52%; 0%; 0%; 0%; 99.9%; 395°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 24°; 75°;
2022-09-13; 10:58:36; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 24°; 34°; 52%; 0%; 0%; 0%; 99.9%; 395°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 24°; 75°; 
2022-09-13; 10:58:46; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 24°; 34°; 51%; 0%; 0%; 0%; 99.9%; 395°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 24°; 75°; 
2022-09-13; 10:58:56; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 23°; 33°; 51%; 0%; 0%; 0%; 99.9%; 394°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 23°; 75°; 
2022-09-13; 10:59:06; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 24°; 34°; 51%; 0%; 0%; 0%; 99.9%; 395°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 24°; 75°;
2022-09-13; 10:59:16; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 24°; 34°; 51%; 0%; 0%; 0%; 99.9%; 395°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 24°; 75°;
2022-09-13; 10:59:26; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 18°; 24°; 34°; 52%; 0%; 0%; 0%; 99.9%; 395°; 18°; 18°; 0%; 18°; 0°; 20°; 0°; 18°; 127°; 127°; 10461; 15878h; 24°; 75°;
